,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,instance
0,0.0,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,26.0,28.0,30.0,32.0,34.0,36.0,38.0,0
1,0.0,1.0,2.0,3.0,4.0,5.0,6.0,13.0,12.0,16.0,18.0,10.0,15.0,19.0,14.0,8.0,9.0,7.0,11.0,17.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,24.0,40.0,16.0,16.0,16.0,72.0,40.0,28.0,40.0,16.0,68.0,68.0,28.0,32.0,28.0,24.0,16.0,28.0,12.0,28.0,0
4,48.0,80.0,32.0,32.0,32.0,144.0,80.0,56.0,80.0,32.0,136.0,136.0,56.0,64.0,56.0,48.0,32.0,56.0,24.0,56.0,0
5,86.0,148.0,60.0,61.0,60.0,261.0,152.0,107.0,148.0,60.0,243.0,243.0,107.0,122.0,102.0,86.0,60.0,106.0,45.0,102.0,0
6,138.0,244.0,100.0,103.0,100.0,423.0,256.0,181.0,244.0,100.0,389.0,389.0,181.0,206.0,166.0,138.0,100.0,178.0,75.0,166.0,0
7,190.0,340.0,140.0,145.0,140.0,585.0,360.0,255.0,340.0,140.0,535.0,535.0,255.0,290.0,230.0,190.0,140.0,250.0,105.0,230.0,0
8,242.0,436.0,180.0,187.0,180.0,747.0,464.0,329.0,436.0,180.0,681.0,681.0,329.0,374.0,294.0,242.0,180.0,322.0,135.0,294.0,0
9,294.0,532.0,220.0,229.0,220.0,909.0,568.0,403.0,532.0,220.0,827.0,827.0,403.0,458.0,358.0,294.0,220.0,394.0,165.0,358.0,0
10,375.3333333333333,685.3333333333334,278.6666666666667,292.6666666666667,278.6666666666667,1160.6666666666667,731.3333333333334,517.3333333333334,685.3333333333334,278.6666666666667,1053.3333333333333,1053.3333333333333,517.3333333333334,588.0,457.3333333333333,375.3333333333333,278.6666666666667,504.6666666666667,208.66666666666666,457.3333333333333,0
11,486.0,896.0,356.0,378.0,356.0,1502.0,954.0,672.0,896.0,356.0,1360.0,1360.0,672.0,764.0,592.0,486.0,356.0,654.0,266.0,592.0,0
12,596.6666666666667,1106.6666666666665,433.33333333333337,463.33333333333337,433.33333333333337,1843.3333333333335,1176.6666666666665,826.6666666666667,1106.6666666666665,433.33333333333337,1666.6666666666665,1666.6666666666665,826.6666666666667,940.0,726.6666666666667,596.6666666666667,433.33333333333337,803.3333333333333,323.33333333333337,726.6666666666667,0
13,707.3333333333333,1317.3333333333335,510.6666666666667,548.6666666666667,510.6666666666667,2184.666666666667,1399.3333333333335,981.3333333333334,1317.3333333333335,510.6666666666667,1973.3333333333333,1973.3333333333333,981.3333333333334,1116.0,861.3333333333333,707.3333333333333,510.6666666666667,952.6666666666666,380.66666666666663,861.3333333333333,0
14,818.0,1528.0,588.0,634.0,588.0,2526.0,1622.0,1136.0,1528.0,588.0,2280.0,2280.0,1136.0,1292.0,996.0,818.0,588.0,1102.0,438.0,996.0,0
15,928.6666666666666,1738.6666666666667,665.3333333333333,719.3333333333333,665.3333333333333,2867.333333333333,1844.6666666666667,1290.6666666666665,1738.6666666666667,665.3333333333333,2586.666666666667,2586.666666666667,1290.6666666666665,1468.0,1130.6666666666665,928.6666666666666,665.3333333333333,1251.3333333333335,495.3333333333333,1130.6666666666665,0
16,1039.3333333333335,1949.3333333333333,742.6666666666667,804.6666666666666,742.6666666666667,3208.6666666666665,2067.333333333333,1445.3333333333335,1949.3333333333333,742.6666666666667,2893.333333333333,2893.333333333333,1445.3333333333335,1644.0,1265.3333333333335,1039.3333333333335,742.6666666666667,1400.6666666666665,552.6666666666667,1265.3333333333335,0
17,1150.0,2160.0,820.0,890.0,820.0,3550.0,2290.0,1600.0,2160.0,820.0,3200.0,3200.0,1600.0,1820.0,1400.0,1150.0,820.0,1550.0,610.0,1400.0,0
18,1416.0,2683.3333333333335,1005.3333333333334,1090.6666666666667,1005.3333333333334,4412.0,2845.3333333333335,1981.3333333333333,2683.3333333333335,1005.3333333333334,3972.0,3972.0,1981.3333333333333,2255.3333333333335,1725.3333333333333,1416.0,1005.3333333333334,1914.6666666666667,743.3333333333334,1725.3333333333333,0
19,1682.0,3206.666666666667,1190.6666666666667,1291.3333333333333,1190.6666666666667,5274.0,3400.666666666667,2362.6666666666665,3206.666666666667,1190.6666666666667,4744.0,4744.0,2362.6666666666665,2690.6666666666665,2050.6666666666665,1682.0,1190.6666666666667,2279.3333333333335,876.6666666666667,2050.6666666666665,0
