,slot,flight,eta,fpfs,time,priority,margins,airline,cost,num,type
0,0,FA0,0,0,0,0.8085487034755982,39,A,0.8085487034755982,0,B734
1,1,FB1,1,2,2,1.73822244479134,37,B,1.73822244479134,1,B734
2,2,FC2,2,4,4,1.4593976263677082,34,C,1.4593976263677082,2,A319
3,3,FC3,3,6,6,0.7266445341178873,47,C,0.7266445341178873,3,A321
4,4,FD4,4,8,8,1.3644286276081334,46,D,1.3644286276081334,4,A321
5,5,FB5,5,10,10,0.6885897468113142,47,B,0.6885897468113142,5,B738
6,6,FA6,6,12,12,1.4155769135418772,28,A,1.4155769135418772,6,B744
7,7,FD7,7,14,14,0.7705640810050765,51,D,0.7705640810050765,7,A319
8,8,FC8,8,16,16,1.4601213826648063,31,C,1.4601213826648063,8,AT72
9,9,FB9,9,18,18,0.6172803466513005,38,B,0.6172803466513005,9,A332
10,10,FD10,10,20,20,1.4584255298414965,28,D,1.4584255298414965,10,B735
11,11,FC11,11,22,22,1.4475487806268572,36,C,1.4475487806268572,11,AT72
12,12,FA12,12,24,24,0.7813101271838252,42,A,0.7813101271838252,12,B733
13,13,FA13,13,26,26,1.4770749370839393,52,A,1.4770749370839393,13,A332
14,14,FB14,14,28,28,0.9161717373494258,55,B,0.9161717373494258,14,B738
15,15,FD15,15,30,30,1.4043068570719466,48,D,1.4043068570719466,15,B763
